Date,United States
12/31/2019,0
1/1/2020,0
1/2/2020,0
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,1
1/22/2020,1
1/23/2020,1
1/24/2020,1
1/25/2020,2
1/26/2020,2
1/27/2020,5
1/28/2020,5
1/29/2020,5
1/30/2020,5
1/31/2020,6
2/1/2020,7
2/2/2020,8
2/3/2020,11
2/4/2020,11
2/5/2020,11
2/6/2020,12
2/7/2020,12
2/8/2020,12
2/9/2020,12
2/10/2020,12
2/11/2020,13
2/12/2020,13
2/13/2020,14
2/14/2020,15
2/15/2020,15
2/16/2020,15
2/17/2020,15
2/18/2020,15
2/19/2020,15
2/20/2020,15
2/21/2020,16
2/22/2020,35
2/23/2020,35
2/24/2020,35
2/25/2020,53
2/26/2020,53
2/27/2020,59
2/28/2020,60
2/29/2020,66
3/1/2020,69
3/2/2020,89
3/3/2020,103
3/4/2020,125
3/5/2020,159
3/6/2020,233
3/7/2020,338
3/8/2020,433
3/9/2020,554
3/10/2020,754
3/11/2020,1025
3/12/2020,1312
3/13/2020,1663
3/14/2020,2174
3/15/2020,2951
3/16/2020,3774
3/17/2020,4661
3/18/2020,6427
3/19/2020,9415
3/20/2020,14250
3/21/2020,19624
3/22/2020,26747
3/23/2020,35206
3/24/2020,46442
3/25/2020,55231
3/26/2020,69194
3/27/2020,85991
3/28/2020,104686
3/29/2020,124665
3/30/2020,143025
3/31/2020,164620
4/1/2020,189618
4/2/2020,216721
4/3/2020,245540
4/4/2020,277965
4/5/2020,312237
4/6/2020,337635
4/7/2020,368196
4/8/2020,398809
4/9/2020,432132
4/10/2020,466033
4/11/2020,501560
4/12/2020,529951
4/13/2020,557571
4/14/2020,582594
4/15/2020,609516
4/16/2020,639664
4/17/2020,671331
4/18/2020,702164
4/19/2020,735086
4/20/2020,759687
4/21/2020,787752
4/22/2020,825041
